•_NOUN •	0.9947927012907293	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1760101528243243E-4,0.0,1.4553635210201406E-4,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0
‥_NOUN ‥	0.7402597391818914	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.806416530723219E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1529815800207767E-4,0.0,1.497313884706831E-4,0.001215648156330081,4.3743367258465094E-4,0.0014911577578410663,0.002534746066901719,7.056312001024028E-4,3.745449632401676E-4,5.27851431380648E-4,1.9627952991109677E-4,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,18.2,96.3,32.9,359.6,2032.5,242.3,587.7,2238.8,2406.6,0.0,0.0,0.0
□_NOUN □	0.749757080614911	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.10821098423056E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010600819882141941,0.002487367226977416,0.0,0.0,0.0,0.0,0.007886815171583383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,120.6,0.0,0.0,0.0,0.0,248.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一 一	0.8237903904378778	3.6264732547597464E-4,1.517297187942545E-4,0.0,1.567398119122257E-4,4.5377973430194625E-4,7.518338267672587E-4,5.153557353729917E-4,2.9711375212224106E-4,0.001173922063073665,2.552948991808449E-4,3.168061091467356E-4,0.0011303460612025057,0.001727915679496567,0.0,0.0,6.938649898768377E-4,2.6581118240146656E-4,8.235124683237484E-4,9.595210973574921E-4,4.889180608677875E-4,1.2343139271754782E-4,7.507875599904115E-4,5.134071957831009E-4,8.027883250681817E-4,6.666706052397367E-4,0.001418649320557378,4.415820141828972E-4,0.0014626608850823834,3.9938200172642086E-4,0.0011753255618303009,0.0016467620589808146,0.0012600414621436878,9.149040002810199E-4,0.0012779230342420702,0.00146477971787254,0.0013392347915594774,0.0013439798797209134,0.0013587025859924397,0.0010286024178505547,0.0010196045926478174,4.542983387898373E-4,1.8700554759951615E-4,2.189099746232155E-4,2.981046418143527E-4,0.0,0.0,0.0,0.0,0.0,0.0	0.8,1.5,0.0,0.6,4.1,5.7,3.4,0.7,4.6,1.3,0.6,7.1,12.2,0.0,0.0,3.3,2.9,6.4,4.3,2.5,1.2,14.3,12.0,4.8,3.8,16.2,2.7,12.1,19.7,65.5,52.8,79.7,47.7,95.6,38.1,97.6,186.5,178.8,104.1,81.9,35.2,80.7,319.8,40.2,0.0,0.0,0.0,0.0,0.0,0.0
一 七	0.9532011897539684	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3596193065941534E-4,0.0,2.3337222870478412E-4,2.830188679245283E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0756115641215717E-4,0.0,2.0911752404851529E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2667390517553384E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561983559190114E-4,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0
一 万	1.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0501995379122034E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一 三	1.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867924528301886E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一 上	0.9999999999999992	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0394289598912304E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一 不	0.9835013959371609	0.0,0.0,0.0,0.0,0.0,0.0,1.422475106685633E-4,0.0,0.0,0.0,1.1668611435239206E-4,1.8867924528301886E-4,0.0,0.0,0.0,1.3550135501355014E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一 个	0.8502818541943722	0.0,0.0,0.0,0.0,0.0,0.0,6.045519203413941E-4,0.0,0.0,0.0,0.0,8.962264150943396E-4,0.0,0.0,0.0,3.613369467028003E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8598884066955984E-4,0.0,0.0,0.0,2.509410288582183E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
